perturbagen	entrez_gene_id	z_score	direction
154	23210	-4.082	down
158	54205	-4.071000000000001	down
159	55748	-4.167	down
159	7264	-4.058	down
159	11325	4.277	up
159	55179	4.336	up
159	102	6.055	up
166	80204	6.081	up
183	2109	-7.91	down
183	5111	-6.6339999999999995	down
183	6194	-6.535	down
183	4282	-5.5089999999999995	down
183	124583	-5.376	down
183	22934	-5.023	down
183	22827	-4.801	down
183	2778	-4.74	down
183	55818	-4.685	down
183	51021	-4.6739999999999995	down
183	991	-4.574	down
183	58533	-4.566	down
183	10450	-4.3919999999999995	down
183	3930	-4.247	down
183	2582	-4.203	down
183	4043	-4.1419999999999995	down
183	200081	-4.129	down
183	3315	-4.087	down
183	4016	4.055	up
183	5058	4.063	up
183	9641	4.159	up
183	5019	4.2139999999999995	up
183	2736	4.379	up
183	3551	4.39	up
183	80746	4.436	up
183	5331	4.4910000000000005	up
183	7852	4.527	up
183	5588	4.665	up
183	5743	4.718	up
183	154	4.794	up
183	8312	4.966	up
183	8821	5.047	up
183	8869	5.26	up
183	178	5.364	up
183	823	5.4079999999999995	up
183	23635	6.329	up
190	5529	-5.355	down
190	51382	-4.638	down
190	64080	4.33	up
190	1021	4.868	up
190	23378	5.6129999999999995	up
191	9710	4.43	up
196	6714	4.9030000000000005	up
204	6461	-4.2410000000000005	down
204	25966	4.312	up
207	387	4.418	up
207	102	4.672	up
207	2770	4.886	up
207	695	5.221	up
207	23635	6.229	up
207	5331	6.689	up
207	8324	8.577	up
207	80204	9.005	up
208	9093	-4.187	down
216	11261	4.4719999999999995	up
217	7319	4.296	up
218	7099	-4.761	down
219	695	5.035	up
219	80204	5.181	up
221	30836	-4.423	down
221	10320	5.135	up
221	6915	5.2989999999999995	up
222	9093	-4.438	down
226	9903	4.763999999999999	up
238	8574	-4.25	down
238	23588	-4.2330000000000005	down
238	392	-4.13	down
238	4850	4.239	up
238	9181	4.498	up
238	23212	4.638999999999999	up
238	8061	4.974	up
238	3303	5.114	up
238	1848	5.523	up
238	4616	6.3660000000000005	up
238	6347	7.029	up
238	7538	10.625	up
