perturbagen	down-imputed	down-measured	up-imputed	up-measured
1951	8	17	5	10
1952	12	36	8	13
1955	213	98	122	69
1956	185	123	86	116
1958	1	6	1	5
1959	9	24	4	11
1960	8	11	0	7
1962	5	20	3	9
1969	87	50	71	48
1974	0	10	0	3
1975	3	17	1	2
1977	12	23	5	15
1978	30	35	29	23
1981	0	6	0	4
1983	3	2	1	4
1984	1	11	3	6
1994	10	27	4	11
1997	12	26	10	15
1999	3	10	0	6
2000	10	16	1	4
2002	14	34	7	15
2004	5	10	5	5
2010	2	10	1	4
2011	0	1	1	2
2015	21	37	9	15
2017	4	7	5	3
2021	9	28	1	5
2023	8	36	2	13
2030	3	22	4	17
2033	29	44	16	37
2034	22	39	22	23
2037	17	24	5	9
2041	0	1	0	0
2042	0	2	1	2
2043	0	1	0	0
2044	1	2	0	0
2045	1	1	0	1
2046	1	2	0	1
2047	1	7	1	4
2048	0	10	2	5
2049	0	0	1	1
2050	23	50	14	13
2051	0	6	3	0
2052	5	7	1	3
2053	3	5	2	6
2056	3	2	4	2
2057	8	15	9	14
2058	31	18	12	15
2059	11	30	11	9
2063	190	94	127	64
2064	68	75	58	42
2065	52	71	26	82
2066	13	36	8	22
2067	37	70	36	33
2068	0	7	4	7
2071	1	13	0	3
2072	8	11	4	7
2073	7	30	7	12
2077	1	5	2	2
2078	373	361	627	382
2079	13	46	2	26
2081	0	1	0	0
2098	1	12	3	8
2099	16	38	6	23
2100	70	76	27	47
2101	9	17	1	8
2108	6	26	3	12
2109	11	22	7	19
2113	6	16	0	8
2114	10	25	5	11
2115	15	30	30	13
2118	3	18	0	5
2119	1	4	1	12
2120	1	1	2	1
2122	9	29	9	7
2130	1	6	0	1
2131	18	29	16	15
2132	14	14	8	9
2138	1	6	1	2
2145	3	21	2	8
2146	385	165	615	189
2147	3	18	2	6
2149	7	25	7	14
2150	3	14	6	8
2152	12	25	6	7
2153	3	9	3	8
2155	13	21	3	6
2159	4	26	6	11
2160	9	23	0	4
2161	0	11	0	4
2166	3	19	1	6
2167	10	24	3	11
2168	1	7	2	4
2171	3	21	2	8
2172	6	15	4	10
2175	1	24	1	13
2180	19	32	20	25
2181	3	17	1	2
2182	7	19	7	16
2184	27	43	38	37
2185	1	7	3	4
2188	20	36	17	16
2189	5	19	1	3
2194	3	11	0	2
2195	18	54	13	16
2197	0	6	0	5
2203	16	36	8	30
2212	10	23	3	5
2222	105	83	37	35
2224	14	31	3	10
2230	45	45	33	38
2232	5	23	3	11
2235	19	51	13	42
2237	1	4	1	8
2241	1	9	1	7
2242	8	34	4	9
2243	10	21	5	10
2244	5	9	1	3
2247	5	15	2	1
2254	3	23	2	11
2255	0	10	2	2
2260	42	40	8	16
2261	2	15	0	4
2263	25	50	29	38
2264	2	11	1	1
2266	172	72	76	80
2268	1	1	0	1
2271	0	3	1	2
2274	54	65	88	36
