perturbagen	down-imputed	down-measured	up-imputed	up-measured
2047	0	1	0	2
2051	0	0	0	1
2052	1	0	0	2
2053	0	2	1	0
2056	2	0	0	0
2059	1	0	0	1
2063	0	0	0	1
2066	1	5	1	1
2071	0	0	0	1
2073	0	1	0	0
2077	0	7	0	1
2078	46	85	12	88
2079	3	10	2	16
2081	0	1	0	1
2098	0	1	1	0
2099	1	6	0	4
2100	0	1	0	1
2101	0	0	1	0
2104	4	20	14	52
2108	1	5	0	4
2109	0	2	1	5
2114	0	6	0	13
2115	13	11	26	23
2119	1	1	0	0
2131	2	13	0	9
2146	0	3	0	3
2149	2	11	5	6
2150	0	2	0	0
2152	1	3	0	2
2159	0	1	1	1
2167	0	2	0	2
2168	0	1	0	2
2185	39	114	168	135
2189	0	3	0	8
2193	0	8	0	1
2203	0	2	1	1
2222	0	0	0	1
2224	0	1	0	0
2232	0	2	0	2
2235	0	0	1	0
2237	1	3	3	2
2243	2	5	0	6
2254	1	3	2	0
2260	2	6	5	8
2261	0	1	0	1
2266	0	1	0	1
2268	0	5	1	11
2274	0	1	0	0
2287	1	2	0	0
2302	1	7	28	28
2303	1	0	1	0
2309	0	1	1	4
2313	0	26	1	16
2321	0	1	0	1
2322	2	12	0	11
2324	1	0	2	1
2353	4	42	6	38
2355	1	2	0	4
2475	0	1	1	0
2494	1	0	0	1
2495	1	1	0	0
2512	4	4	0	7
2516	0	0	0	1
2523	0	0	0	1
2534	0	1	0	2
2538	3	1	0	1
2539	0	1	0	1
2542	3	39	9	29
2547	0	0	0	1
2548	0	0	1	3
2550	0	7	0	5
2553	2	6	2	4
2588	0	1	0	4
2592	0	1	1	0
2593	3	17	2	2
2597	1	5	0	4
2615	0	0	1	5
2624	0	3	1	16
2625	0	3	0	8
2629	1	0	0	5
2634	0	0	0	3
2645	6	53	3	36
2664	0	5	1	6
2677	0	2	0	2
2678	0	2	0	6
2697	1	0	0	1
2710	1	1	0	3
2729	0	4	0	1
2730	2	3	0	1
2731	1	1	1	3
2735	0	0	0	2
2737	0	1	0	2
2752	0	0	0	3
2760	1	0	0	0
2762	10	34	4	34
2767	0	1	0	2
2769	0	3	0	2
2770	0	0	0	3
2771	1	0	0	2
2781	0	0	0	1
2782	1	0	0	4
2783	2	1	0	2
2786	1	1	3	3
2787	0	2	0	0
2793	0	0	0	1
2801	0	0	0	2
2805	0	1	0	3
2806	1	0	1	0
2817	1	6	1	2
2827	3	4	1	8
2828	0	6	2	12
2837	0	0	0	3
2846	0	0	0	5
2849	0	1	0	0
2852	0	1	2	12
2857	0	4	1	3
2859	0	15	1	21
2861	0	0	0	1
2864	0	1	0	1
