perturbagen	down-imputed	down-measured	up-imputed	up-measured
BRD-A28318179	1	6	1	0
BRD-A28412351	0	1	0	0
BRD-A28422058	2	21	5	22
BRD-A28422330	0	1	0	3
BRD-A28746609	3	27	1	16
BRD-A28856712	0	2	0	0
BRD-A28940325	2	10	2	5
BRD-A28970875	426	228	574	187
BRD-A29009894	5	16	7	6
BRD-A29082194	21	66	7	35
BRD-A29119732	7	9	1	2
BRD-A29289453	0	1	0	1
BRD-A29322418	0	2	1	2
BRD-A29342309	1	1	1	0
BRD-A29349577	0	2	0	0
BRD-A29426959	2	25	0	4
BRD-A29437505	0	0	0	1
BRD-A29485665	0	1	0	2
BRD-A29644307	0	1	1	3
BRD-A29721261	0	0	0	1
BRD-A29734509	0	0	1	2
BRD-A29854054	1	4	0	7
BRD-A29901043	1	28	4	17
BRD-A30083233	9	57	9	5
BRD-A30142024	0	8	2	0
BRD-A30205217	2	7	2	3
BRD-A30395175	0	3	1	5
BRD-A30435184	0	14	17	23
BRD-A30437061	578	225	422	221
BRD-A30455275	1	1	2	2
BRD-A30582499	0	0	0	2
BRD-A30590053	0	0	0	1
BRD-A30655177	0	10	0	3
BRD-A30693873	1	3	0	2
BRD-A30717181	2	11	5	20
BRD-A30815329	1	0	0	2
BRD-A30856524	0	2	0	5
BRD-A30977374	0	7	0	3
BRD-A31007383	0	7	0	1
BRD-A31107743	102	109	451	113
BRD-A31158127	5	8	0	7
BRD-A31159102	2	13	2	6
BRD-A31180007	16	13	6	9
BRD-A31195449	1	6	4	5
BRD-A31204924	2	7	1	2
BRD-A31227688	0	3	1	6
BRD-A31312900	0	2	0	10
BRD-A31374339	0	2	0	1
BRD-A31429689	1	3	1	1
BRD-A31521121	0	2	0	3
BRD-A31575449	4	0	0	0
BRD-A31800922	1	5	0	2
BRD-A31801025	0	2	0	0
BRD-A31836915	2	1	0	2
BRD-A31946439	182	129	43	63
BRD-A32065788	0	5	1	8
BRD-A32161980	4	10	3	0
BRD-A32164164	0	6	1	11
BRD-A32214171	0	7	0	12
BRD-A32241587	1	0	0	0
BRD-A32349859	0	7	0	5
BRD-A32440707	0	3	0	2
BRD-A32449311	0	4	0	3
BRD-A32595718	88	90	59	57
BRD-A32836748	0	5	0	4
BRD-A32917072	0	2	0	4
BRD-A32949107	0	1	0	0
BRD-A32988684	1	4	2	2
BRD-A33070992	0	4	0	4
BRD-A33325795	1	1	0	2
BRD-A33447119	0	9	0	3
BRD-A33711280	0	4	0	3
BRD-A33746814	623	241	377	253
BRD-A33749298	26	60	35	46
BRD-A33833419	0	2	0	6
BRD-A34006693	0	8	1	6
BRD-A34037822	34	77	21	18
BRD-A34205397	131	133	110	103
BRD-A34208323	0	3	0	1
BRD-A34255068	0	0	0	3
BRD-A34299591	1	16	3	22
BRD-A34309505	1	3	0	4
BRD-A34421300	1	2	0	0
BRD-A34462049	11	65	16	35
BRD-A34706053	0	0	1	1
BRD-A34751532	1	17	0	5
BRD-A34806832	420	213	580	200
BRD-A34817987	0	3	0	2
BRD-A34907681	0	6	0	1
BRD-A35020550	0	0	1	2
BRD-A35033682	0	4	3	14
BRD-A35072120	2	5	2	4
BRD-A35108200	2	20	9	25
BRD-A35141262	0	1	0	1
BRD-A35153197	0	4	0	7
BRD-A35207501	0	1	0	0
BRD-A35338386	0	0	0	1
BRD-A35511923	0	2	0	3
BRD-A35519318	0	0	0	1
BRD-A35588707	456	254	544	254
BRD-A35623999	1	6	2	11
BRD-A35713041	4	4	2	2
BRD-A35769934	0	0	1	2
BRD-A35782587	8	40	4	20
BRD-A35825362	1	5	1	0
BRD-A35869383	73	94	43	63
BRD-A35912562	3	8	2	6
BRD-A35989968	0	1	1	1
BRD-A36010170	1	14	1	12
BRD-A36059655	3	2	0	1
BRD-A36066264	0	2	0	4
BRD-A36074203	2	42	1	16
BRD-A36151937	15	59	5	72
BRD-A36165599	0	1	0	0
BRD-A36217750	0	3	1	4
BRD-A36267905	0	1	0	1
BRD-A36275421	585	307	415	284
BRD-A36318220	1	19	3	9
BRD-A36411721	8	50	5	26
BRD-A36471396	8	54	2	55
BRD-A36630025	488	250	512	292
BRD-A36707673	0	1	0	0
BRD-A36884011	6	6	1	1
BRD-A37052580	0	1	1	2
BRD-A37347161	0	2	0	1
BRD-A37432947	2	14	0	18
BRD-A37444045	2	45	4	16
BRD-A37492983	0	2	0	2
BRD-A37501891	0	1	0	1
BRD-A37541666	0	3	1	9
BRD-A37630846	14	42	7	19
BRD-A37704979	9	21	11	18
BRD-A37735495	168	163	141	116
BRD-A37776212	1	1	0	3
BRD-A37780065	1	5	1	16
BRD-A37817666	0	1	0	0
BRD-A37828317	39	92	31	62
BRD-A37837077	0	0	0	1
BRD-A37942872	2	37	3	12
BRD-A37959677	0	1	0	0
BRD-A38030642	94	108	150	76
BRD-A38275906	0	1	0	5
BRD-A38425832	3	20	1	3
BRD-A38749782	4	20	1	16
BRD-A38878059	1	6	0	2
BRD-A38898897	0	1	0	1
BRD-A39052811	11	48	8	39
BRD-A39093044	569	224	420	168
BRD-A39210489	0	3	0	0
BRD-A39230911	0	4	0	1
BRD-A39255369	0	2	0	1
BRD-A39268308	0	1	0	1
BRD-A39290993	0	9	0	2
BRD-A39390670	0	1	0	0
BRD-A39415247	1	8	0	4
BRD-A39522003	0	1	0	1
BRD-A39599596	1	4	0	2
BRD-A39646320	502	252	498	239
BRD-A39747742	5	43	2	45
BRD-A39969961	1	4	0	0
BRD-A39996500	368	152	504	133
BRD-A40163033	2	5	0	4
BRD-A40431293	310	192	340	140
BRD-A40560522	0	1	0	4
BRD-A40639672	1	5	1	9
BRD-A40807648	5	4	1	1
BRD-A41020680	0	4	0	8
BRD-A41112154	0	2	1	2
BRD-A41114263	4	12	0	1
BRD-A41145729	3	14	1	8
BRD-A41250203	270	154	240	91
BRD-A41250306	0	0	0	2
BRD-A41301928	2	25	0	16
BRD-A41304429	0	0	0	1
BRD-A41450521	0	3	0	1
BRD-A41451487	2	18	0	22
BRD-A41519720	0	5	0	5
BRD-A41555725	0	0	0	2
BRD-A41630653	0	0	0	3
BRD-A41649729	0	7	1	18
BRD-A41692738	6	8	2	3
BRD-A41722204	3	1	1	2
BRD-A41833852	1	2	3	5
BRD-A41941932	0	0	0	3
BRD-A41995253	0	1	0	0
BRD-A41997916	0	2	0	3
BRD-A42031983	0	4	1	5
BRD-A42167015	0	1	0	1
BRD-A42187224	8	6	2	2
BRD-A42264566	2	1	1	5
BRD-A42270467	0	4	0	3
BRD-A42335949	4	27	9	23
BRD-A42346008	0	1	0	2
BRD-A42383464	64	71	37	73
BRD-A42423104	0	1	0	1
BRD-A42553870	0	2	0	3
BRD-A42571354	0	3	0	1
BRD-A42610307	10	12	3	4
BRD-A42628519	0	5	1	9
BRD-A42649439	30	72	25	78
BRD-A42737819	0	4	0	3
BRD-A42759514	1	6	1	1
BRD-A42831637	1	1	0	1
BRD-A42969626	0	1	0	2
BRD-A42994615	0	0	0	1
BRD-A43082555	0	1	0	0
BRD-A43087975	1	1	0	1
BRD-A43126523	68	86	38	54
BRD-A43150328	0	3	3	13
BRD-A43155244	291	167	298	110
BRD-A43188678	0	1	0	0
BRD-A43331270	30	74	49	57
BRD-A43640821	1	19	0	5
BRD-A43671941	0	8	0	4
BRD-A43805296	0	13	2	8
BRD-A43809092	0	3	0	4
BRD-A43849199	1	7	1	2
BRD-A43882281	0	2	0	3
BRD-A43930669	0	0	0	5
BRD-A43940795	0	3	0	0
BRD-A43974499	0	3	0	2
BRD-A43974575	0	1	0	0
BRD-A44008656	3	1	1	1
BRD-A44090213	1	3	0	1
BRD-A44133049	0	11	3	4
BRD-A44244100	0	3	0	0
